,background_max_distance,kernel_max_distance,textures_max_distance,textures_min_distance,barycenter_distance,group
3082,15.811388300841896,16.15549442140351,30.479501308256346,1.0,13.917771167962748,2
3083,22.02271554554524,18.601075237738275,40.36087214122113,1.0,19.920433180670027,2
3084,16.1245154965971,16.64331697709324,31.827660925679098,1.0,14.390481631014827,2
3085,23.43074902771996,18.601075237738275,42.44997055358225,1.0,20.735136389161287,2
3087,18.43908891458577,24.08318915758459,42.44997055358225,1.0,22.136583432921395,2
3088,20.0,17.4928556845359,37.64306044943742,1.0,19.200365916861607,2
3089,15.524174696260024,15.264337522473747,29.0,1.0,12.706450970718702,2
3090,17.08800749063506,17.08800749063506,31.240998703626616,1.0,13.722469190194545,2
3093,15.524174696260024,14.317821063276352,27.586228448267445,1.0,12.279033864987872,2
3094,13.152946437965904,14.142135623730953,24.75883680627989,1.0,10.79242285705496,2
3096,20.615528128088304,19.849433241279208,40.311288741492746,1.0,20.66972352656122,2
3097,18.384776310850235,17.08800749063506,33.421549934136806,1.0,14.891979947213809,2
3099,19.4164878389476,20.518284528683196,38.897300677553446,1.0,18.8037739077946,2
3100,17.0,18.027756377319943,33.97057550292606,1.0,15.972284783270656,2
3101,18.35755975068582,18.384776310850235,36.12478373637688,1.0,16.7391033259007,2
3102,18.867962264113206,20.0,38.18376618407357,1.0,17.416052441019062,2
3103,17.4928556845359,16.15549442140351,33.24154027718932,1.0,14.871499192959794,2
3104,14.7648230602334,16.15549442140351,29.8328677803526,1.0,14.301767222070428,2
3105,17.88854381999832,18.35755975068582,34.713109915419565,1.0,15.12041782217098,2
3106,22.67156809750927,20.615528128088304,41.01219330881976,1.0,18.973057474069737,2
3107,18.43908891458577,22.02271554554524,42.44997055358225,2.23606797749979,23.918323177258014,2
3108,18.601075237738275,19.235384061671343,36.87817782917155,1.0,17.642069754447967,2
3110,21.633307652783937,21.18962010041709,41.01219330881976,1.0,18.28836737743644,2
3112,16.278820596099706,18.384776310850235,32.55764119219941,1.0,14.460419096943609,2
3114,15.231546211727816,14.866068747318506,28.284271247461906,1.0,12.363895270706644,2
3115,17.204650534085253,15.811388300841896,32.526911934581186,1.0,14.313173251929753,2
3116,17.204650534085253,19.209372712298546,36.069377593742864,1.0,17.46950612982012,2
